annee,num_mois,type_mois,nb_validation
2015,1,Janvier,16392613
2015,2,Février,15030832
2015,3,Mars,16449014
2015,4,Avril,16176669
2015,5,Mai,14746436
2015,6,Juin,17566046
2015,7,Juillet,15068063
2015,8,Août,10708700
2015,9,Septembre,17152568
2015,10,Octobre,18435500
2015,11,Novembre,16063038
2015,12,Décembre,16939338
2016,1,Janvier,17625979
2016,2,Février,17261257
2016,3,Mars,18094833
2016,4,Avril,17304499
2016,5,Mai,17212968
2016,6,Juin,18306069
2016,7,Juillet,15868842
2016,8,Août,12162179
2016,9,Septembre,17819657
2016,10,Octobre,18250351
2016,11,Novembre,18414477
2016,12,Décembre,13345770
2017,1,Janvier,18698638
2017,2,Février,16609700
2017,3,Mars,19574178
2017,4,Avril,16389365
2017,5,Mai,17406197
2017,6,Juin,18264603
2017,7,Juillet,15972088
2017,8,Août,12191334
2017,9,Septembre,17659666
2017,10,Octobre,19351446
2017,11,Novembre,19045405
2017,12,Décembre,17826526
2018,1,Janvier,19001185
2018,2,Février,17027071
2018,3,Mars,19577947
2018,4,Avril,17136736
2018,5,Mai,16860872
2018,6,Juin,18424063
2018,7,Juillet,17398575
2018,8,Août,12638682
2018,9,Septembre,17599165
2018,10,Octobre,19697974
2018,11,Novembre,17952883
2018,12,Décembre,16689234
2019,1,Janvier,18645169
2019,2,Février,18040396
2019,3,Mars,19243227
2019,4,Avril,18815325
2019,5,Mai,17578969
2019,6,Juin,18426871
2019,7,Juillet,18756129
2019,8,Août,13626495
2019,9,Septembre,18307464
2019,10,Octobre,20735743
2019,11,Novembre,18986567
2019,12,Décembre,14968028
2020,1,Janvier,17820577
2020,2,Février,17864951
2020,3,Mars,9277956
2020,4,Avril,734557
2020,5,Mai,2984795
2020,6,Juin,8193223
2020,7,Juillet,11246252
2020,8,Août,8891185
2020,9,Septembre,13034012
2020,10,Octobre,13125194
2020,11,Novembre,6048209
2020,12,Décembre,8468485
2021,1,Janvier,9422010
2021,2,Février,8799198
2021,3,Mars,9876843
2021,4,Avril,7371953
2021,5,Mai,9696045
2021,6,Juin,13578059
2021,7,Juillet,12986919
2021,8,Août,9861885
2021,9,Septembre,15331998
2021,10,Octobre,16458553
2021,11,Novembre,16162277
2021,12,Décembre,15346084
