JOUR;LIBELLE_FETE;;;
06/01/2015;Epiphanie;;;
02/02/2015;La Chandeleur;;;
14/02/2015;Saint Valentin;;;
17/02/2015;Mardi Gras;;;
01/03/2015;Fête des Grands Mères;;;
17/03/2015;Saint Patrick;;;
31/05/2015;Fête des Mères;;;
21/06/2015;Fête de la Musique;;;
24/06/2015;Fête de la Saint Jean;;;
04/10/2015;Fête des Grands Pères;;;
06/01/2016;Epiphanie;;;
02/02/2016;La Chandeleur;;;
09/02/2016;Mardi Gras;;;
14/02/2016;Saint Valentin;;;
06/03/2016;Fête des Grands Mères;;;
17/03/2016;Saint Patrick;;;
29/05/2016;Fête des Mères;;;
19/06/2016;Fête des Pères;;;
21/06/2016;Fête de la Musique;;;
24/06/2016;Fête de la Saint Jean;;;
02/10/2016;Fête des Grands Pères;;;
06/01/2017;Epiphanie;;;
02/02/2017;La Chandeleur;;;
14/02/2017;Saint Valentin;;;
05/03/2017;Fête des Grands Mères;;;
17/03/2017;Saint Patrick;;;
28/05/2017;Fête des Mères;;;
18/06/2017;Fête des Pères;;;
21/06/2017;Fête de la Musique;;;
24/06/2017;Fête de la Saint Jean;;;
01/10/2017;Fête des Grands Pères;;;
06/01/2018;Epiphanie;;;
02/02/2018;La Chandeleur;;;
13/02/2018;Mardi Gras;;;
14/02/2018;Saint Valentin;;;
04/03/2018;Fête des Grands Mères;;;
17/03/2018;Saint Patrick;;;
27/05/2018;Fête des Mères;;;
17/06/2018;Fête des Pères;;;
21/06/2018;Fête de la Musique;;;
24/06/2018;Fête de la Saint Jean;;;
07/10/2018;Fête des Grands Pères;;;
06/01/2019;Epiphanie;;;
02/02/2019;La Chandeleur;;;
14/02/2019;Saint Valentin;;;
28/02/2019;Mardi Gras;;;
03/03/2019;Fête des Grands Mères;;;
05/03/2019;Mardi Gras;;;
17/03/2019;Saint Patrick;;;
26/05/2019;Fête des Mères;;;
16/06/2019;Fête des Pères;;;
21/06/2019;Fête de la Musique;;;
24/06/2019;Fête de la Saint Jean;;;
06/10/2019;Fête des Grands Pères;;;
05/01/2020;Epiphanie;;;
02/02/2020;La Chandeleur;;;
14/02/2020;Saint Valentin;;;
25/02/2020;Mardi Gras;;;
01/03/2020;Fête des Grands Mères;;;
17/03/2020;Saint Patrick;;;
07/06/2020;Fête des Mères;;;
21/06/2020;Fête de la Musique;;;
24/06/2020;Fête de la Saint Jean;;;
04/10/2020;Fête des Grands Pères;;;
03/01/2021;Epiphanie;;;
02/02/2021;La Chandeleur;;;
14/02/2021;Saint Valentin;;;
16/02/2021;Mardi Gras;;;
07/03/2021;Fête des Grands Mères;;;
17/03/2021;Saint Patrick;;;
30/05/2021;Fête des Mères;;;
20/06/2021;Fête des Pères;;;
21/06/2021;Fête de la Musique;;;
24/06/2021;Fête de la Saint Jean;;;
03/10/2021;Fête des Grands Pères;;;
02/01/2022;Epiphanie;;;
02/02/2022;La Chandeleur;;;
14/02/2022;Saint Valentin;;;
01/03/2022;Mardi Gras;;;
06/03/2022;Fête des Grands Mères;;;
17/03/2022;Saint Patrick;;;
29/05/2022;Fête des Mères;;;
19/06/2022;Fête des Pères;;;
21/06/2022;Fête de la Musique;;;
24/06/2022;Fête de la Saint Jean;;;
02/10/2022;Fête des Grands Pères;;;
